season,espn_team_id,team_name,division_name,owner_names,owner_ids,wins,losses,ties,points_for,points_against,regular_season_standing,final_standing
2017,1,The  Commish,East,bschwa8,{C1E09685-96D1-4750-BA21-8BE16D3BF7CA},5,8,0,1165.64,1073.98,8,11
2017,2,In Your Face,East,RSBase,{EC970810-E14F-4307-8FA6-3BAE92CC1B4E},12,1,0,1280.02,993.18,1,3
2017,3,Tevin Schwartz,East,kvizzle321,{C52D799E-6C1C-44B9-8371-9B6AF857D8E8},6,7,0,1212.86,1201.78,6,2
2017,4,CJ 2k16,East,,,7,6,0,1048.8799999999999,1192.52,5,6
2017,5,From Worst to Worst,East,JMarcellino87,{77F704CF-0C76-4984-9A71-8BD39511C19F},3,10,0,1194.52,1267.94,12,7
2017,6,Team Flatcheese,East,flatcheese,{FE8F6865-8A47-4C3A-8D66-0780982B48DD},4,9,0,967.92,1116.3,11,9
2017,7,The Redemption Squad,East,bschwa1439,{430447A7-381F-4E40-AD53-6A9C1F157A25},7,6,0,1285.0600000000002,1209.14,4,1
2017,8,Curious George,East,Zach71732,{00408013-39CF-40FC-8080-1339CFD0FC06},6,7,0,1096.9399999999998,1122.18,7,10
2017,9,New Yawk Bklyn's Best,East,Larry02532,{7FE6FADE-68F2-4650-A6FA-DE68F25650BC},5,8,0,1119.88,1251.26,9,8
2017,10,Team Riley,East,Ryebreadly,{2C8A1B87-268B-45A5-A0E5-C4A3F61C9BC2},5,8,0,1042.3,1179.72,10,12
2017,12,Cntrl Alt Delete,East,Geo112285,{91D28B99-9234-408F-ACE7-32AEC03EE9E2},9,4,0,1298.3,1156.16,2,4
2017,13,Zeke's One-Two Punch,East,maxlikessports,{CAEE0654-F1F5-4231-8116-255B1F893B85},9,4,0,1186.54,1134.7,3,5
