season,week,is_playoff_week,espn_team_id,team_name,opponent_espn_team_id,opponent_team_name,team_score,opponent_score,outcome
2022,1,False,1,The  Commish,4,I'm Ryan  Keyser,119.76,159.4,L
2022,2,False,1,The  Commish,3,Cookin With Colonel Sanders,160.86,83.3,W
2022,3,False,1,The  Commish,5,Maybe This Year,86.88,84.84,W
2022,4,False,1,The  Commish,2,In Your Face,135.3,131.16,W
2022,5,False,1,The  Commish,12,Quads Are us,106.42,144.56,L
2022,6,False,1,The  Commish,6,Team  Vengeance,86.02,110.4,L
2022,7,False,1,The  Commish,8,Wu Tang Sports Ventures ,130.42,102.1,W
2022,8,False,1,The  Commish,7,I. AM. (NOT) BATEMAN! ,149.24,127.78,W
2022,9,False,1,The  Commish,14,Team YB,85.4,105.52,L
2022,10,False,1,The  Commish,10,DENVER RILEY,76.04,76.8,L
2022,11,False,1,The  Commish,13,What R U Doin  Step Bro?!?!,124.4,101.0,W
2022,12,False,1,The  Commish,4,I'm Ryan  Keyser,111.66,130.6,L
2022,13,False,1,The  Commish,3,Cookin With Colonel Sanders,120.1,133.14,L
2022,14,False,1,The  Commish,5,Maybe This Year,142.38,96.6,W
2022,15,True,1,The  Commish,12,Quads Are us,106.02,174.86,L
2022,16,True,1,The  Commish,5,Maybe This Year,99.6,107.16,L
2022,17,True,1,The  Commish,3,Cookin With Colonel Sanders,114.08,85.58,W
2022,1,False,2,In Your Face,14,Team YB,87.6,117.12,L
2022,2,False,2,In Your Face,13,What R U Doin  Step Bro?!?!,109.58,111.36,L
2022,3,False,2,In Your Face,3,Cookin With Colonel Sanders,134.66,89.32,W
2022,4,False,2,In Your Face,1,The  Commish,131.16,135.3,L
2022,5,False,2,In Your Face,6,Team  Vengeance,152.82,135.48,W
2022,6,False,2,In Your Face,7,I. AM. (NOT) BATEMAN! ,80.28,100.5,L
2022,7,False,2,In Your Face,10,DENVER RILEY,147.7,103.52,W
2022,8,False,2,In Your Face,4,I'm Ryan  Keyser,148.28,160.32,L
2022,9,False,2,In Your Face,5,Maybe This Year,126.8,210.22,L
2022,10,False,2,In Your Face,12,Quads Are us,127.1,133.3,L
2022,11,False,2,In Your Face,8,Wu Tang Sports Ventures ,132.6,109.86,W
2022,12,False,2,In Your Face,14,Team YB,174.92,115.44,W
2022,13,False,2,In Your Face,13,What R U Doin  Step Bro?!?!,107.78,83.32,W
2022,14,False,2,In Your Face,3,Cookin With Colonel Sanders,147.96,115.26,W
2022,15,True,2,In Your Face,4,I'm Ryan  Keyser,126.72,164.64,L
2022,16,True,2,In Your Face,7,I. AM. (NOT) BATEMAN! ,79.3,72.16,W
2022,17,True,2,In Your Face,7,I. AM. (NOT) BATEMAN! ,77.72,99.78,L
2022,1,False,3,Cookin With Colonel Sanders,13,What R U Doin  Step Bro?!?!,82.88,113.58,L
2022,2,False,3,Cookin With Colonel Sanders,1,The  Commish,83.3,160.86,L
2022,3,False,3,Cookin With Colonel Sanders,2,In Your Face,89.32,134.66,L
2022,4,False,3,Cookin With Colonel Sanders,6,Team  Vengeance,167.3,111.28,W
2022,5,False,3,Cookin With Colonel Sanders,7,I. AM. (NOT) BATEMAN! ,94.44,148.86,L
2022,6,False,3,Cookin With Colonel Sanders,10,DENVER RILEY,95.92,100.6,L
2022,7,False,3,Cookin With Colonel Sanders,4,I'm Ryan  Keyser,107.7,103.62,W
2022,8,False,3,Cookin With Colonel Sanders,5,Maybe This Year,146.44,125.0,W
