season,espn_team_id,team_name,division_name,owner_names,owner_ids,wins,losses,ties,points_for,points_against,regular_season_standing,final_standing,logo_url
2022,1,The  Commish,East,bschwa8,{C1E09685-96D1-4750-BA21-8BE16D3BF7CA},7,7,0,1634.88,1587.2,7,11,https://g.espncdn.com/lm-static/logo-packs/ffl/AtTheStadium-RobbHarskamp/At_The_Stadium_01.svg
2022,2,In Your Face,East,RSBase,{EC970810-E14F-4307-8FA6-3BAE92CC1B4E},7,7,0,1809.2399999999998,1720.32,6,6,https://g.espncdn.com/s/ffllm/logos/StarWarsTheForceAwakens-ToddDetwiler/ESPN_Star_Wars_18a.svg
2022,3,Cookin With Colonel Sanders,East,kvizzle321,{C52D799E-6C1C-44B9-8371-9B6AF857D8E8},6,8,0,1543.1000000000001,1701.58,10,12,https://g.espncdn.com/lm-static/logo-packs/core/StadiumFoods-ESPN/stadium-foods_popcorn.svg
2022,4,I'm Ryan  Keyser,East,iamurfather69,{8242D4C8-FCD1-4A28-9373-CD282687A8E7},8,6,0,1826.62,1791.5,3,1,https://g.espncdn.com/s/ffllm/logos/TeamKinny-MartinLaksman/TeamKinny-05.svg
2022,5,Maybe This Year,East,JMarcellino87,{77F704CF-0C76-4984-9A71-8BD39511C19F},5,9,0,1616.04,1738.14,11,8,https://g.espncdn.com/lm-static/logo-packs/ffl/HelmetAlphabet-ESPN/Helmet-M.svg
2022,6,Team  Vengeance,East,flatcheese,{FE8F6865-8A47-4C3A-8D66-0780982B48DD},8,6,0,1858.1000000000001,1793.54,2,4,https://cdn-wp.thesportsrush.com/2021/08/117788b2-untitled-design-2021-08-17t232256.948.jpg
2022,7,I. AM. (NOT) BATEMAN! ,East,bschwa1439,{430447A7-381F-4E40-AD53-6A9C1F157A25},8,6,0,1727.2400000000002,1602.1,4,5,http://67.media.tumblr.com/0df9afa101c3d457e8981253999f94ed/tumblr_npm5zgFOeq1utp0ioo4_1280.jpg
2022,8,Wu Tang Sports Ventures ,East,Zach71732,{00408013-39CF-40FC-8080-1339CFD0FC06},4,10,0,1584.1999999999998,1762.78,12,9,https://fontmeme.com/images/Wu-Tang-Logo.jpg
2022,10,DENVER RILEY,East,Mike Riley Bread,{2C8A1B87-268B-45A5-A0E5-C4A3F61C9BC2},9,5,0,1612.3,1491.06,1,2,https://g.espncdn.com/lm-static/logo-packs/core/StadiumFoods-ESPN/stadium-foods_corn-dog.svg
2022,12,Quads Are us,East,Geo112285,{91D28B99-9234-408F-ACE7-32AEC03EE9E2},7,7,0,1602.4399999999998,1664.88,8,7,https://g.espncdn.com/s/ffllm/logos/StarWarsTheForceAwakens-ToddDetwiler/ESPN_Star_Wars_06a.svg
2022,13,What R U Doin  Step Bro?!?!,East,dalehiggins,{85A6A0E4-D846-4046-B7F8-487FAD9165E0},8,6,0,1631.8400000000001,1585.82,5,3,https://pbs.twimg.com/profile_images/2799591293/536c83637de9570c3d2b72230d19f308_400x400.jpeg
2022,14,Team YB,East,yb_schwartz,{C2BAB8A3-9ED5-425C-BAB8-A39ED5B25CC2},7,7,0,1553.9400000000003,1561.02,9,10,https://g.espncdn.com/lm-static/logo-packs/ffl/CreepShow-ToddDetwiler/CreepShow-01.svg
