season,week,is_playoff_week,espn_team_id,team_name,opponent_espn_team_id,opponent_team_name,team_score,opponent_score,outcome
2021,1,False,1,The  Commish,14,AW YouMISSEDme,119.14,141.68,L
2021,2,False,1,The  Commish,6,Saquon CeeDee's Nutz,128.36,156.32,L
2021,3,False,1,The  Commish,7,Fantasy Football Team,157.02,110.88,W
2021,4,False,1,The  Commish,10,DENVER BREAD,103.22,143.74,L
2021,5,False,1,The  Commish,2,In Your Face,104.2,170.96,L
2021,6,False,1,The  Commish,5,Maybe This Year,125.72,123.08,W
2021,7,False,1,The  Commish,4,I'm Ryan  Keyser,123.32,174.04,L
2021,8,False,1,The  Commish,3,The Road To Speedo Town,110.46,115.8,L
2021,9,False,1,The  Commish,8,"Wu Tang Sports Ventures, Inc.",122.26,98.18,W
2021,10,False,1,The  Commish,12,Curious George,121.64,159.72,L
2021,11,False,1,The  Commish,13,What R U Doin  Step Bro?!?!,158.86,96.12,W
2021,12,False,1,The  Commish,14,AW YouMISSEDme,114.56,110.0,W
2021,13,False,1,The  Commish,6,Saquon CeeDee's Nutz,119.1,146.58,L
2021,14,False,1,The  Commish,7,Fantasy Football Team,143.02,140.64,W
2021,15,True,1,The  Commish,7,Fantasy Football Team,84.2,107.78,L
2021,16,True,1,The  Commish,14,AW YouMISSEDme,81.16,89.02,L
2021,17,True,1,The  Commish,6,Saquon CeeDee's Nutz,84.8,77.48,W
2021,1,False,2,In Your Face,10,DENVER BREAD,149.62,117.98,W
2021,2,False,2,In Your Face,3,The Road To Speedo Town,122.3,121.74,W
2021,3,False,2,In Your Face,5,Maybe This Year,105.14,120.12,L
2021,4,False,2,In Your Face,4,I'm Ryan  Keyser,105.12,130.22,L
2021,5,False,2,In Your Face,1,The  Commish,170.96,104.2,W
2021,6,False,2,In Your Face,8,"Wu Tang Sports Ventures, Inc.",142.6,150.5,L
2021,7,False,2,In Your Face,12,Curious George,151.26,109.74,W
2021,8,False,2,In Your Face,13,What R U Doin  Step Bro?!?!,106.76,150.0,L
2021,9,False,2,In Your Face,14,AW YouMISSEDme,137.52,117.64,W
2021,10,False,2,In Your Face,6,Saquon CeeDee's Nutz,112.68,105.8,W
2021,11,False,2,In Your Face,7,Fantasy Football Team,177.3,139.44,W
2021,12,False,2,In Your Face,10,DENVER BREAD,89.78,137.9,L
2021,13,False,2,In Your Face,3,The Road To Speedo Town,87.56,137.92,L
2021,14,False,2,In Your Face,5,Maybe This Year,89.64,128.68,L
2021,15,True,2,In Your Face,6,Saquon CeeDee's Nutz,152.32,119.24,W
2021,16,True,2,In Your Face,7,Fantasy Football Team,98.38,126.3,L
2021,17,True,2,In Your Face,14,AW YouMISSEDme,108.52,90.06,W
2021,1,False,3,The Road To Speedo Town,12,Curious George,129.26,163.76,L
2021,2,False,3,The Road To Speedo Town,2,In Your Face,121.74,122.3,L
2021,3,False,3,The Road To Speedo Town,13,What R U Doin  Step Bro?!?!,131.28,144.92,L
2021,4,False,3,The Road To Speedo Town,5,Maybe This Year,96.96,107.46,L
2021,5,False,3,The Road To Speedo Town,14,AW YouMISSEDme,127.14,66.58,W
2021,6,False,3,The Road To Speedo Town,4,I'm Ryan  Keyser,82.18,122.36,L
2021,7,False,3,The Road To Speedo Town,6,Saquon CeeDee's Nutz,117.64,59.82,W
2021,8,False,3,The Road To Speedo Town,1,The  Commish,115.8,110.46,W
2021,9,False,3,The Road To Speedo Town,7,Fantasy Football Team,85.08,113.58,L
2021,10,False,3,The Road To Speedo Town,8,"Wu Tang Sports Ventures, Inc.",62.6,100.14,L
2021,11,False,3,The Road To Speedo Town,10,DENVER BREAD,95.08,112.74,L
2021,12,False,3,The Road To Speedo Town,12,Curious George,67.54,106.86,L
2021,13,False,3,The Road To Speedo Town,2,In Your Face,137.92,87.56,W
2021,14,False,3,The Road To Speedo Town,13,What R U Doin  Step Bro?!?!,119.62,127.68,L
2021,15,True,3,The Road To Speedo Town,14,AW YouMISSEDme,118.36,96.04,W
2021,16,True,3,The Road To Speedo Town,6,Saquon CeeDee's Nutz,82.78,75.74,W
2021,17,True,3,The Road To Speedo Town,7,Fantasy Football Team,114.9,57.2,W
2021,1,False,4,I'm Ryan  Keyser,6,Saquon CeeDee's Nutz,140.86,122.08,W
2021,2,False,4,I'm Ryan  Keyser,7,Fantasy Football Team,119.4,145.06,L
2021,3,False,4,I'm Ryan  Keyser,10,DENVER BREAD,132.34,133.08,L
2021,4,False,4,I'm Ryan  Keyser,2,In Your Face,130.22,105.12,W
2021,5,False,4,I'm Ryan  Keyser,5,Maybe This Year,171.86,89.08,W
2021,6,False,4,I'm Ryan  Keyser,3,The Road To Speedo Town,122.36,82.18,W
2021,7,False,4,I'm Ryan  Keyser,1,The  Commish,174.04,123.32,W
2021,8,False,4,I'm Ryan  Keyser,8,"Wu Tang Sports Ventures, Inc.",88.56,140.6,L
2021,9,False,4,I'm Ryan  Keyser,12,Curious George,76.0,121.88,L
2021,10,False,4,I'm Ryan  Keyser,13,What R U Doin  Step Bro?!?!,85.68,95.82,L
2021,11,False,4,I'm Ryan  Keyser,14,AW YouMISSEDme,111.48,118.5,L
2021,12,False,4,I'm Ryan  Keyser,6,Saquon CeeDee's Nutz,95.18,130.92,L
2021,13,False,4,I'm Ryan  Keyser,7,Fantasy Football Team,159.72,97.4,W
2021,14,False,4,I'm Ryan  Keyser,10,DENVER BREAD,156.02,127.54,W
2021,15,True,4,I'm Ryan  Keyser,13,What R U Doin  Step Bro?!?!,93.28,69.36,W
2021,16,True,4,I'm Ryan  Keyser,8,"Wu Tang Sports Ventures, Inc.",148.1,118.1,W
2021,17,True,4,I'm Ryan  Keyser,12,Curious George,209.82,119.36,W
2021,1,False,5,Maybe This Year,7,Fantasy Football Team,124.86,102.5,W
2021,2,False,5,Maybe This Year,10,DENVER BREAD,121.32,162.08,L
2021,3,False,5,Maybe This Year,2,In Your Face,120.12,105.14,W
2021,4,False,5,Maybe This Year,3,The Road To Speedo Town,107.46,96.96,W
2021,5,False,5,Maybe This Year,4,I'm Ryan  Keyser,89.08,171.86,L
2021,6,False,5,Maybe This Year,1,The  Commish,123.08,125.72,L
2021,7,False,5,Maybe This Year,8,"Wu Tang Sports Ventures, Inc.",127.68,107.0,W
2021,8,False,5,Maybe This Year,12,Curious George,107.64,105.78,W
2021,9,False,5,Maybe This Year,13,What R U Doin  Step Bro?!?!,104.84,108.56,L
2021,10,False,5,Maybe This Year,14,AW YouMISSEDme,149.32,107.24,W
2021,11,False,5,Maybe This Year,6,Saquon CeeDee's Nutz,71.18,105.58,L
2021,12,False,5,Maybe This Year,7,Fantasy Football Team,115.3,138.02,L
2021,13,False,5,Maybe This Year,10,DENVER BREAD,150.62,145.22,W
2021,14,False,5,Maybe This Year,2,In Your Face,128.68,89.64,W
2021,15,True,5,Maybe This Year,10,DENVER BREAD,68.34,111.98,L
2021,16,True,5,Maybe This Year,13,What R U Doin  Step Bro?!?!,154.64,67.08,W
