season,overall_pick,round,pick_in_round,espn_team_id,team_name,player_id,player_name,is_keeper,bid_amount
2021,1,1,1,12,Curious George,3117251,Christian McCaffrey,False,0
2021,2,1,2,1,The  Commish,3116593,Dalvin Cook,False,0
2021,3,1,3,3,The Road To Speedo Town,3054850,Alvin Kamara,False,0
2021,4,1,4,5,Maybe This Year,3043078,Derrick Henry,False,0
2021,5,1,5,4,I'm Ryan  Keyser,16800,Davante Adams,False,0
2021,6,1,6,13,What R U Doin  Step Bro?!?!,4241457,Najee Harris,False,0
2021,7,1,7,14,AW YouMISSEDme,3116406,Tyreek Hill,False,0
2021,8,1,8,6,Saquon CeeDee's Nutz,3929630,Saquon Barkley,False,0
2021,9,1,9,7,Fantasy Football Team,3051392,Ezekiel Elliott,False,0
2021,10,1,10,8,"Wu Tang Sports Ventures, Inc.",3068267,Austin Ekeler,False,0
2021,11,1,11,2,In Your Face,15847,Travis Kelce,False,0
2021,12,1,12,10,DENVER BREAD,3042519,Aaron Jones,False,0
2021,13,2,1,10,DENVER BREAD,3128720,Nick Chubb,False,0
2021,14,2,2,2,In Your Face,4242335,Jonathan Taylor,False,0
2021,15,2,3,8,"Wu Tang Sports Ventures, Inc.",2976212,Stefon Diggs,False,0
2021,16,2,4,7,Fantasy Football Team,15795,DeAndre Hopkins,False,0
2021,17,2,5,6,Saquon CeeDee's Nutz,4360294,Antonio Gibson,False,0
2021,18,2,6,14,AW YouMISSEDme,3116385,Joe Mixon,False,0
2021,19,2,7,13,What R U Doin  Step Bro?!?!,4047646,A.J. Brown,False,0
2021,20,2,8,4,I'm Ryan  Keyser,4047650,DK Metcalf,False,0
2021,21,2,9,5,Maybe This Year,4242214,Clyde Edwards-Helaire,False,0
2021,22,2,10,3,The Road To Speedo Town,3925357,Calvin Ridley,False,0
2021,23,2,11,1,The  Commish,4262921,Justin Jefferson,False,0
2021,24,2,12,12,Curious George,2576925,Darren Waller,False,0
2021,25,3,1,12,Curious George,15818,Keenan Allen,False,0
2021,26,3,2,1,The  Commish,3121422,Terry McLaurin,False,0
2021,27,3,3,3,The Road To Speedo Town,16799,Allen Robinson II,False,0
2021,28,3,4,5,Maybe This Year,3040151,George Kittle,False,0
2021,29,3,5,4,I'm Ryan  Keyser,4035538,David Montgomery,False,0
2021,30,3,6,13,What R U Doin  Step Bro?!?!,4052042,James Robinson,False,0
2021,31,3,7,14,AW YouMISSEDme,16737,Mike Evans,False,0
2021,32,3,8,6,Saquon CeeDee's Nutz,4241389,CeeDee Lamb,False,0
2021,33,3,9,7,Fantasy Football Team,3919596,Chris Carson,False,0
2021,34,3,10,8,"Wu Tang Sports Ventures, Inc.",4045163,Miles Sanders,False,0
2021,35,3,11,2,In Your Face,15880,Robert Woods,False,0
2021,36,3,12,10,DENVER BREAD,3932905,Diontae Johnson,False,0
2021,37,4,1,10,DENVER BREAD,2977187,Cooper Kupp,False,0
2021,38,4,2,2,In Your Face,4259545,D'Andre Swift,False,0
2021,39,4,3,8,"Wu Tang Sports Ventures, Inc.",2976499,Amari Cooper,False,0
2021,40,4,4,7,Fantasy Football Team,16460,Adam Thielen,False,0
2021,41,4,5,6,Saquon CeeDee's Nutz,2577327,Tyler Lockett,False,0
2021,42,4,6,14,AW YouMISSEDme,3139477,Patrick Mahomes,False,0
2021,43,4,7,13,What R U Doin  Step Bro?!?!,4361579,Javonte Williams,False,0
2021,44,4,8,4,I'm Ryan  Keyser,3116165,Chris Godwin,False,0
2021,45,4,9,5,Maybe This Year,4239993,Tee Higgins,False,0
2021,46,4,10,3,The Road To Speedo Town,3915416,DJ Moore,False,0
2021,47,4,11,1,The  Commish,3051926,Gus Edwards,False,0
2021,48,4,12,12,Curious George,13982,Julio Jones,False,0
2021,49,5,1,12,Curious George,4047365,Josh Jacobs,False,0
2021,50,5,2,1,The  Commish,3918298,Josh Allen,False,0
2021,51,5,3,3,The Road To Speedo Town,3059915,Kareem Hunt,False,0
2021,52,5,4,5,Maybe This Year,3886818,Myles Gaskin,False,0
2021,53,5,5,4,I'm Ryan  Keyser,3917315,Kyler Murray,False,0
2021,54,5,6,13,What R U Doin  Step Bro?!?!,4241463,Jerry Jeudy,False,0
2021,55,5,7,14,AW YouMISSEDme,3116365,Mark Andrews,False,0
2021,56,5,8,6,Saquon CeeDee's Nutz,4360438,Brandon Aiyuk,False,0
2021,57,5,9,7,Fantasy Football Team,3916387,Lamar Jackson,False,0
2021,58,5,10,8,"Wu Tang Sports Ventures, Inc.",3128429,Courtland Sutton,False,0
2021,59,5,11,2,In Your Face,3120348,JuJu Smith-Schuster,False,0
2021,60,5,12,10,DENVER BREAD,3025433,Mike Davis,False,0
2021,61,6,1,10,DENVER BREAD,4039359,Darrell Henderson Jr.,False,0
2021,62,6,2,2,In Your Face,8439,Aaron Rodgers,False,0
2021,63,6,3,8,"Wu Tang Sports Ventures, Inc.",2577417,Dak Prescott,False,0
2021,64,6,4,7,Fantasy Football Team,2974858,Kenny Golladay,False,0
2021,65,6,5,6,Saquon CeeDee's Nutz,4036133,T.J. Hockenson,False,0
2021,66,6,6,14,AW YouMISSEDme,2574808,Robby Anderson,False,0
2021,67,6,7,13,What R U Doin  Step Bro?!?!,3119195,Chase Edmonds,False,0
2021,68,6,8,4,I'm Ryan  Keyser,4360248,Kyle Pitts,False,0
2021,69,6,9,5,Maybe This Year,14881,Russell Wilson,False,0
2021,70,6,10,3,The Road To Speedo Town,4243160,Laviska Shenault Jr.,False,0
2021,71,6,11,1,The  Commish,16733,Odell Beckham Jr.,False,0
2021,72,6,12,12,Curious George,3925347,Damien Harris,False,0
2021,73,7,1,12,Curious George,4046692,Chase Claypool,False,0
2021,74,7,2,1,The  Commish,16731,Brandin Cooks,False,0
2021,75,7,3,3,The Road To Speedo Town,16813,Logan Thomas,False,0
2021,76,7,4,5,Maybe This Year,4241478,DeVonta Smith,False,0
2021,77,7,5,4,I'm Ryan  Keyser,4362628,Ja'Marr Chase,False,0
2021,78,7,6,13,What R U Doin  Step Bro?!?!,4036131,Noah Fant,False,0
2021,79,7,7,14,AW YouMISSEDme,3045144,Tyler Boyd,False,0
2021,80,7,8,6,Saquon CeeDee's Nutz,4038941,Justin Herbert,False,0
2021,81,7,9,7,Fantasy Football Team,2576414,Raheem Mostert,False,0
2021,82,7,10,8,"Wu Tang Sports Ventures, Inc.",2976316,Michael Thomas,False,0
2021,83,7,11,2,In Your Face,4241372,Marquise Brown,False,0
