season,overall_pick,round,pick_in_round,espn_team_id,team_name,player_id,player_name,is_keeper,bid_amount
2020,1,1,1,7,Fantasy Football Team,3117251,Christian McCaffrey,False,0
2020,2,1,2,5,Maybe This Year,3051392,Ezekiel Elliott,False,0
2020,3,1,3,13,99 Problems but L. Fitz ain't 1,3929630,Saquon Barkley,False,0
2020,4,1,4,2,In Your Face,3054850,Alvin Kamara,False,0
2020,5,1,5,4,Juicy Smuyet,3116593,Dalvin Cook,False,0
2020,6,1,6,10,DENVER BREAD,4242214,Clyde Edwards-Helaire,False,0
2020,7,1,7,8,The  Lazard King,4045163,Miles Sanders,False,0
2020,8,1,8,9,LOCKETT LIKE I  TALK IT,2976316,Michael Thomas,False,0
2020,9,1,9,6,Team Flatcheese,4047365,Josh Jacobs,False,0
2020,10,1,10,12,Curious George,3043078,Derrick Henry,False,0
2020,11,1,11,1,The  Commish,3042519,Aaron Jones,False,0
2020,12,1,12,3,The Autodraft Allstars,3128720,Nick Chubb,False,0
2020,13,2,1,3,The Autodraft Allstars,3915416,DJ Moore,False,0
2020,14,2,2,1,The  Commish,3116385,Joe Mixon,False,0
2020,15,2,3,12,Curious George,2979843,Kenyan Drake,False,0
2020,16,2,4,6,Team Flatcheese,15795,DeAndre Hopkins,False,0
2020,17,2,5,9,LOCKETT LIKE I  TALK IT,13982,Julio Jones,False,0
2020,18,2,6,8,The  Lazard King,3068267,Austin Ekeler,False,0
2020,19,2,7,10,DENVER BREAD,16800,Davante Adams,False,0
2020,20,2,8,4,Juicy Smuyet,3116406,Tyreek Hill,False,0
2020,21,2,9,2,In Your Face,3116165,Chris Godwin,False,0
2020,22,2,10,13,99 Problems but L. Fitz ain't 1,15847,Travis Kelce,False,0
2020,23,2,11,5,Maybe This Year,16737,Mike Evans,False,0
2020,24,2,12,7,Fantasy Football Team,3916387,Lamar Jackson,False,0
2020,25,3,1,7,Fantasy Football Team,3919596,Chris Carson,False,0
2020,26,3,2,5,Maybe This Year,3040151,George Kittle,False,0
2020,27,3,3,13,99 Problems but L. Fitz ain't 1,2974858,Kenny Golladay,False,0
2020,28,3,4,2,In Your Face,3139477,Patrick Mahomes,False,0
2020,29,3,5,4,Juicy Smuyet,16799,Allen Robinson II,False,0
2020,30,3,6,10,DENVER BREAD,2508176,David Johnson,False,0
2020,31,3,7,8,The  Lazard King,16460,Adam Thielen,False,0
2020,32,3,8,9,LOCKETT LIKE I  TALK IT,16733,Odell Beckham Jr.,False,0
2020,33,3,9,6,Team Flatcheese,2976499,Amari Cooper,False,0
2020,34,3,10,12,Curious George,15835,Zach Ertz,False,0
2020,35,3,11,1,The  Commish,3045147,James Conner,False,0
2020,36,3,12,3,The Autodraft Allstars,3120348,JuJu Smith-Schuster,False,0
2020,37,4,1,3,The Autodraft Allstars,3128429,Courtland Sutton,False,0
2020,38,4,2,1,The  Commish,4047646,A.J. Brown,False,0
2020,39,4,3,12,Curious George,2977644,Todd Gurley II,False,0
2020,40,4,4,6,Team Flatcheese,4040761,Devin Singletary,False,0
2020,41,4,5,9,LOCKETT LIKE I  TALK IT,15825,Le'Veon Bell,False,0
2020,42,4,6,8,The  Lazard King,15880,Robert Woods,False,0
2020,43,4,7,10,DENVER BREAD,2576434,Melvin Gordon III,False,0
2020,44,4,8,4,Juicy Smuyet,3116365,Mark Andrews,False,0
2020,45,4,9,2,In Your Face,2977187,Cooper Kupp,False,0
2020,46,4,10,13,99 Problems but L. Fitz ain't 1,3925357,Calvin Ridley,False,0
2020,47,4,11,5,Maybe This Year,2577327,Tyler Lockett,False,0
2020,48,4,12,7,Fantasy Football Team,15818,Keenan Allen,False,0
2020,49,5,1,7,Fantasy Football Team,4047650,DK Metcalf,False,0
2020,50,5,2,5,Maybe This Year,4242335,Jonathan Taylor,False,0
2020,51,5,3,13,99 Problems but L. Fitz ain't 1,4240021,Cam Akers,False,0
2020,52,5,4,2,In Your Face,2576414,Raheem Mostert,False,0
2020,53,5,5,4,Juicy Smuyet,14924,T.Y. Hilton,False,0
2020,54,5,6,10,DENVER BREAD,16790,Jarvis Landry,False,0
2020,55,5,7,8,The  Lazard King,13983,A.J. Green,False,0
2020,56,5,8,9,LOCKETT LIKE I  TALK IT,4035538,David Montgomery,False,0
2020,57,5,9,6,Team Flatcheese,2976212,Stefon Diggs,False,0
2020,58,5,10,12,Curious George,3121422,Terry McLaurin,False,0
2020,59,5,11,1,The  Commish,3115394,DJ Chark Jr.,False,0
2020,60,5,12,3,The Autodraft Allstars,3059915,Kareem Hunt,False,0
2020,61,6,1,3,The Autodraft Allstars,4259545,D'Andre Swift,False,0
2020,62,6,2,1,The  Commish,3115364,Leonard Fournette,False,0
2020,63,6,3,12,Curious George,2576623,DeVante Parker,False,0
2020,64,6,4,6,Team Flatcheese,4241372,Marquise Brown,False,0
2020,65,6,5,9,LOCKETT LIKE I  TALK IT,2576925,Darren Waller,False,0
2020,66,6,6,8,The  Lazard King,2577417,Dak Prescott,False,0
2020,67,6,7,10,DENVER BREAD,4036348,Michael Gallup,False,0
2020,68,6,8,4,Juicy Smuyet,3917315,Kyler Murray,False,0
