player_id,position
2577327,WR
4430027,TE
4430034,WR
4429013,RB
4612826,WR
4697815,RB
-16002,D/ST
-16003,D/ST
4259545,RB
4361432,WR
4430807,RB
-16007,D/ST
4429275,RB
4596448,RB
4685279,RB
16800,WR
3117251,RB
-16016,D/ST
-16017,D/ST
4429795,RB
-16021,D/ST
-16022,D/ST
-16023,D/ST
3040151,TE
4241389,WR
4360939,WR
4701936,WR
-16025,D/ST
-16026,D/ST
3139477,QB
4360438,WR
3128720,RB
-16033,D/ST
-16034,D/ST
4569587,WR
4362238,RB
4431611,QB
2977187,WR
3915416,WR
4242433,WR
4426502,WR
4567048,RB
4572680,TE
4362249,WR
3916433,WR
4241416,RB
4379399,RB
15818,WR
4262921,WR
3886598,WR
3917315,QB
2976499,WR
4426385,RB
4430737,RB
4047365,RB
4429205,WR
4426388,WR
4685720,QB
4723086,TE
4361370,WR
4385690,TE
4696981,RB
4595348,WR
15835,TE
4685472,WR
4242335,RB
3043078,RB
4575131,RB
3915511,QB
2577417,QB
3054850,RB
4568490,RB
15847,TE
4373678,WR
3042519,RB
2976212,WR
3126486,WR
4428209,WR
4688813,WR
4242355,TE
4882093,RB
4429501,RB
4032473,WR
4685247,RB
3918298,QB
4040655,WR
4035538,RB
4431299,WR
4369863,WR
4567750,WR
3052587,QB
4427095,WR
4569173,RB
4361307,TE
4431452,QB
4426338,QB
4427366,RB
4890973,RB
4431459,TE
4685415,WR
3895856,WR
4429160,RB
4361579,RB
4426348,QB
4426354,WR
4596334,RB
4711533,RB
4036133,TE
3929630,RB
4047650,WR
3121422,WR
4360569,RB
4373626,RB
4047646,WR
4239993,WR
4038941,QB
4239996,RB
4036378,QB
4258173,WR
4635008,WR
4877706,WR
4432773,WR
4686472,WR
4362628,WR
4685702,RB
4040715,QB
4569987,RB
3045147,RB
4362887,QB
4361741,QB
4569618,WR
3116406,WR
4426515,WR
3128429,WR
4432665,TE
3068267,RB
4686612,WR
4430878,WR
4374302,WR
3916148,RB
3116165,WR
16737,WR
3123076,TE
3925357,WR
3121023,TE
4819231,RB
4035687,WR
3916387,QB
4428331,WR
4433970,QB
4241457,RB
4372016,WR
4429615,WR
5081397,RB
4372019,RB
4241463,WR
4361529,RB
4683062,WR
3116365,TE
