season,week,transaction_id,related_transaction_id,transaction_type,status,espn_team_id,bid_amount,item_type,player_id,player_name,from_team_id,to_team_id,date
2020,2,f50f9c2b-d335-4f6f-bf39-d7659c599684,74c8a137-8ea5-406e-979e-1a06bc70fe44,WAIVER,FAILED_INVALIDPLAYERSOURCE,7,15,DROP,3045260.0,Corey Clement,7.0,0.0,2020-09-16
2020,2,5c2d016e-a019-4951-a362-2ab89c05fdda,,FREEAGENT,EXECUTED,10,0,ADD,3042778.0,Corey Davis,0.0,10.0,2020-09-16
2020,2,5c2d016e-a019-4951-a362-2ab89c05fdda,,FREEAGENT,EXECUTED,10,0,DROP,15966.0,Chris Thompson,10.0,0.0,2020-09-16
2020,2,14a316aa-9273-4120-8093-9593fe81620f,,FREEAGENT,EXECUTED,9,0,ADD,3910544.0,Joshua Kelley,0.0,9.0,2020-09-16
2020,2,14a316aa-9273-4120-8093-9593fe81620f,,FREEAGENT,EXECUTED,9,0,DROP,3923397.0,Ryquell Armstead,9.0,0.0,2020-09-16
2020,2,88a91aa3-4aaa-4a75-9c3a-4047e75c2965,fe82ff0e-a059-4d63-88d3-826b7d373bf1,WAIVER,EXECUTED,6,8,ADD,3051738.0,Marquez Valdes-Scantling,0.0,6.0,2020-09-16
2020,2,88a91aa3-4aaa-4a75-9c3a-4047e75c2965,fe82ff0e-a059-4d63-88d3-826b7d373bf1,WAIVER,EXECUTED,6,8,DROP,15920.0,Latavius Murray,6.0,0.0,2020-09-16
2020,2,362b1f12-b7be-4a1f-aab1-eed2ca31a6bb,,FREEAGENT,EXECUTED,5,0,ADD,10475.0,Greg Olsen,0.0,5.0,2020-09-19
2020,2,32c24a1d-56c5-47bd-9c51-bbbb026d3fa4,551ef37c-8b62-401a-9a18-3ba56d18cbf7,WAIVER,FAILED_INVALIDPLAYERSOURCE,5,10,ADD,2570986.0,Malcolm Brown,0.0,5.0,2020-09-16
2020,2,32c24a1d-56c5-47bd-9c51-bbbb026d3fa4,551ef37c-8b62-401a-9a18-3ba56d18cbf7,WAIVER,FAILED_INVALIDPLAYERSOURCE,5,10,DROP,4035004.0,Mecole Hardman,5.0,0.0,2020-09-16
2020,2,567433fd-73be-4965-a022-45e9dcfb207f,481f9b7b-8186-4d06-ba56-bcab1b9dd156,WAIVER,EXECUTED,6,25,ADD,3916430.0,Nyheim Hines,0.0,6.0,2020-09-16
2020,2,567433fd-73be-4965-a022-45e9dcfb207f,481f9b7b-8186-4d06-ba56-bcab1b9dd156,WAIVER,EXECUTED,6,25,DROP,-16008.0,Lions D/ST,6.0,0.0,2020-09-16
2020,2,fc9b1a05-a699-426a-843e-d2f6ad005f21,,WAIVER,PENDING,10,15,ADD,2570986.0,Malcolm Brown,0.0,10.0,2020-09-15
2020,2,fc9b1a05-a699-426a-843e-d2f6ad005f21,,WAIVER,PENDING,10,15,DROP,3116136.0,Justin Jackson,10.0,0.0,2020-09-15
2020,2,288cfff2-4b4f-412a-aa9f-c0888f340795,a62b8ed6-e6e8-4078-ac77-1a610877b8d6,TRADE_DECLINE,EXECUTED,5,0,,,,,,2020-09-18
2020,2,7d7cf0e8-335c-4e26-814a-6a1e8e33e908,5ddfcbab-6600-42fd-bbb3-e9338e5b21a2,WAIVER,FAILED_INVALIDPLAYERSOURCE,1,3,ADD,3051738.0,Marquez Valdes-Scantling,0.0,1.0,2020-09-16
2020,2,7d7cf0e8-335c-4e26-814a-6a1e8e33e908,5ddfcbab-6600-42fd-bbb3-e9338e5b21a2,WAIVER,FAILED_INVALIDPLAYERSOURCE,1,3,DROP,3932423.0,Miles Boykin,1.0,0.0,2020-09-16
2020,2,5f1bafd6-6d34-4496-8315-cdeaf49881aa,,FREEAGENT,EXECUTED,5,0,ADD,3051902.0,Peyton Barber,0.0,5.0,2020-09-16
2020,2,5f1bafd6-6d34-4496-8315-cdeaf49881aa,,FREEAGENT,EXECUTED,5,0,DROP,4035004.0,Mecole Hardman,5.0,0.0,2020-09-16
2020,2,a354fc7c-79cf-4c72-a849-27efb8dd46bc,fee55ffd-771b-4db2-bb92-6035c80e5670,WAIVER,EXECUTED,7,4,ADD,3115378.0,Russell Gage,0.0,7.0,2020-09-16
2020,2,a354fc7c-79cf-4c72-a849-27efb8dd46bc,fee55ffd-771b-4db2-bb92-6035c80e5670,WAIVER,EXECUTED,7,4,DROP,3045260.0,Corey Clement,7.0,0.0,2020-09-16
2020,2,b33d2cbb-4415-47f5-8af7-ed68815ee441,,ROSTER,EXECUTED,7,10,DROP,2991767.0,Blake Jarwin,7.0,0.0,2020-09-15
