season,espn_team_id,team_name,division_name,owner_names,owner_ids,wins,losses,ties,points_for,points_against,regular_season_standing,final_standing,logo_url
2019,1,The  Commish,East,bschwa8,{C1E09685-96D1-4750-BA21-8BE16D3BF7CA},10,3,0,1721.0600000000002,1424.22,1,2,https://g.espncdn.com/lm-static/logo-packs/ffl/AtTheStadium-RobbHarskamp/At_The_Stadium_01.svg
2019,2,In Your Face,East,RSBase,{EC970810-E14F-4307-8FA6-3BAE92CC1B4E},7,6,0,1546.02,1453.32,5,6,https://g.espncdn.com/s/ffllm/logos/StarWarsTheForceAwakens-ToddDetwiler/ESPN_Star_Wars_18a.svg
2019,3,Gnarls Barkley,East,kvizzle321,{C52D799E-6C1C-44B9-8371-9B6AF857D8E8},8,5,0,1591.76,1479.9,4,4,https://mk0slamonlinensgt39k.kinstacdn.com/wp-content/uploads/2006/12/pg6g.jpg
2019,4,Juicy Smuyet,East,iamurfather69,{8242D4C8-FCD1-4A28-9373-CD282687A8E7},5,8,0,1507.0600000000002,1553.98,9,7,https://g.espncdn.com/s/ffllm/logos/TeamKinny-MartinLaksman/TeamKinny-05.svg
2019,5,Maybe This Year,East,JMarcellino87,{77F704CF-0C76-4984-9A71-8BD39511C19F},4,9,0,1430.26,1638.54,11,12,https://g.espncdn.com/lm-static/logo-packs/ffl/HelmetAlphabet-ESPN/Helmet-M.svg
2019,6,Team Flatcheese,East,flatcheese,{FE8F6865-8A47-4C3A-8D66-0780982B48DD},9,4,0,1684.8600000000001,1429.78,2,1,https://g.espncdn.com/s/ffllm/logos/BoneHeads-ToddDetwiler/BoneHeads-11.svg
2019,7,Diggin Them TD's,East,bschwa1439,{430447A7-381F-4E40-AD53-6A9C1F157A25},5,8,0,1426.44,1555.08,10,9,http://67.media.tumblr.com/0df9afa101c3d457e8981253999f94ed/tumblr_npm5zgFOeq1utp0ioo4_1280.jpg
2019,8,The Man With  The Yellow Hat ,East,Zach71732,{00408013-39CF-40FC-8080-1339CFD0FC06},7,6,0,1501.1599999999999,1443.04,6,3,http://4.bp.blogspot.com/-lziyLb7ugcU/T2yE5rSrCeI/AAAAAAAAAS0/Q4ZoSt7ElTM/s320/YellowHatguy.gif
2019,9,LOCKETT LIKE I  TALK IT,East,LL_Sulai90,{F307EF76-8029-43C4-9AC6-587DB9941E05},6,7,0,1479.62,1587.84,7,8,
2019,10,DENVER BREAD,East,Ryebreadly,{2C8A1B87-268B-45A5-A0E5-C4A3F61C9BC2},8,5,0,1618.34,1522.58,3,5,https://g.espncdn.com/lm-static/logo-packs/core/StadiumFoods-ESPN/stadium-foods_corn-dog.svg
2019,12,Curious George,East,Geo112285,{91D28B99-9234-408F-ACE7-32AEC03EE9E2},3,10,0,1368.3,1627.64,12,11,https://g.espncdn.com/s/ffllm/logos/StarWarsTheForceAwakens-ToddDetwiler/ESPN_Star_Wars_06a.svg
2019,13,99 Problems but L. Fitz ain't 1,East,dalehiggins,{85A6A0E4-D846-4046-B7F8-487FAD9165E0},6,7,0,1389.3799999999999,1548.34,8,10,https://pbs.twimg.com/profile_images/2799591293/536c83637de9570c3d2b72230d19f308_400x400.jpeg
