season,week,is_playoff_week,espn_team_id,team_name,opponent_espn_team_id,opponent_team_name,team_score,opponent_score,outcome
2014,1,False,1,The  Commish,2,In Your Face,72.0,114.0,L
2014,2,False,1,The  Commish,3,De Marc O Da Beast,79.0,45.0,W
2014,3,False,1,The  Commish,4,Team YB,74.0,79.0,L
2014,4,False,1,The  Commish,5,Team Beats by Ray,71.0,95.0,L
2014,5,False,1,The  Commish,6,Team Flatcheese,85.0,98.0,L
2014,6,False,1,The  Commish,7,3rd Down For What,115.0,65.0,W
2014,7,False,1,The  Commish,12,Ridley Me This,83.0,81.0,W
2014,8,False,1,The  Commish,11,Baltimore Hail Marys,81.0,109.0,L
2014,9,False,1,The  Commish,10,Team Bibendum,93.0,116.0,L
2014,10,False,1,The  Commish,9,New Yawk Bklyn's Best,87.0,77.0,W
2014,11,False,1,The  Commish,8,Team Keyser,113.0,86.0,W
2014,12,False,1,The  Commish,7,3rd Down For What,90.0,116.0,L
2014,13,False,1,The  Commish,12,Ridley Me This,112.0,75.0,W
2014,14,True,1,The  Commish,9,New Yawk Bklyn's Best,127.0,103.0,W
2014,15,True,1,The  Commish,11,Baltimore Hail Marys,59.0,76.0,L
2014,16,True,1,The  Commish,12,Ridley Me This,70.0,58.0,W
2014,1,False,2,In Your Face,1,The  Commish,114.0,72.0,W
2014,2,False,2,In Your Face,4,Team YB,78.0,94.0,L
2014,3,False,2,In Your Face,6,Team Flatcheese,94.0,70.0,W
2014,4,False,2,In Your Face,3,De Marc O Da Beast,95.0,60.0,W
2014,5,False,2,In Your Face,5,Team Beats by Ray,90.0,87.0,W
2014,6,False,2,In Your Face,8,Team Keyser,78.0,111.0,L
2014,7,False,2,In Your Face,7,3rd Down For What,82.0,83.0,L
2014,8,False,2,In Your Face,12,Ridley Me This,91.0,39.0,W
2014,9,False,2,In Your Face,11,Baltimore Hail Marys,108.0,73.0,W
2014,10,False,2,In Your Face,10,Team Bibendum,81.0,77.0,W
2014,11,False,2,In Your Face,9,New Yawk Bklyn's Best,81.0,54.0,W
2014,12,False,2,In Your Face,8,Team Keyser,82.0,98.0,L
2014,13,False,2,In Your Face,7,3rd Down For What,92.0,125.0,L
2014,14,True,2,In Your Face,8,Team Keyser,99.0,71.0,W
2014,15,True,2,In Your Face,7,3rd Down For What,78.0,94.0,L
2014,16,True,2,In Your Face,4,Team YB,64.0,83.0,L
2014,1,False,3,De Marc O Da Beast,6,Team Flatcheese,97.0,83.0,W
2014,2,False,3,De Marc O Da Beast,1,The  Commish,45.0,79.0,L
2014,3,False,3,De Marc O Da Beast,5,Team Beats by Ray,88.0,102.0,L
2014,4,False,3,De Marc O Da Beast,2,In Your Face,60.0,95.0,L
2014,5,False,3,De Marc O Da Beast,4,Team YB,63.0,82.0,L
2014,6,False,3,De Marc O Da Beast,9,New Yawk Bklyn's Best,70.0,46.0,W
2014,7,False,3,De Marc O Da Beast,8,Team Keyser,65.0,83.0,L
2014,8,False,3,De Marc O Da Beast,7,3rd Down For What,129.0,139.0,L
2014,9,False,3,De Marc O Da Beast,12,Ridley Me This,104.0,26.0,W
2014,10,False,3,De Marc O Da Beast,11,Baltimore Hail Marys,105.0,59.0,W
2014,11,False,3,De Marc O Da Beast,10,Team Bibendum,63.0,83.0,L
2014,12,False,3,De Marc O Da Beast,9,New Yawk Bklyn's Best,102.0,115.0,L
2014,13,False,3,De Marc O Da Beast,8,Team Keyser,119.0,126.0,L
2014,14,True,3,De Marc O Da Beast,12,Ridley Me This,132.0,116.0,W
2014,15,True,3,De Marc O Da Beast,9,New Yawk Bklyn's Best,101.0,97.0,W
2014,16,True,3,De Marc O Da Beast,11,Baltimore Hail Marys,70.0,99.0,L
2014,1,False,4,Team YB,5,Team Beats by Ray,101.0,104.0,L
2014,2,False,4,Team YB,2,In Your Face,94.0,78.0,W
2014,3,False,4,Team YB,1,The  Commish,79.0,74.0,W
2014,4,False,4,Team YB,6,Team Flatcheese,110.0,106.0,W
2014,5,False,4,Team YB,3,De Marc O Da Beast,82.0,63.0,W
2014,6,False,4,Team YB,10,Team Bibendum,101.0,103.0,L
2014,7,False,4,Team YB,9,New Yawk Bklyn's Best,124.0,87.0,W
2014,8,False,4,Team YB,8,Team Keyser,149.0,102.0,W
2014,9,False,4,Team YB,7,3rd Down For What,93.0,86.0,W
2014,10,False,4,Team YB,12,Ridley Me This,117.0,97.0,W
2014,11,False,4,Team YB,11,Baltimore Hail Marys,92.0,100.0,L
2014,12,False,4,Team YB,10,Team Bibendum,86.0,117.0,L
2014,13,False,4,Team YB,9,New Yawk Bklyn's Best,93.0,71.0,W
2014,14,True,4,Team YB,4,Team YB,72.0,72.0,U
2014,15,True,4,Team YB,10,Team Bibendum,67.0,98.0,L
2014,16,True,4,Team YB,2,In Your Face,83.0,64.0,W
2014,1,False,5,Team Beats by Ray,4,Team YB,104.0,101.0,W
2014,2,False,5,Team Beats by Ray,6,Team Flatcheese,82.0,68.0,W
2014,3,False,5,Team Beats by Ray,3,De Marc O Da Beast,102.0,88.0,W
2014,4,False,5,Team Beats by Ray,1,The  Commish,95.0,71.0,W
2014,5,False,5,Team Beats by Ray,2,In Your Face,87.0,90.0,L
2014,6,False,5,Team Beats by Ray,11,Baltimore Hail Marys,135.0,99.0,W
2014,7,False,5,Team Beats by Ray,10,Team Bibendum,71.0,69.0,W
2014,8,False,5,Team Beats by Ray,9,New Yawk Bklyn's Best,79.0,84.0,L
2014,9,False,5,Team Beats by Ray,8,Team Keyser,66.0,78.0,L
2014,10,False,5,Team Beats by Ray,7,3rd Down For What,109.0,120.0,L
2014,11,False,5,Team Beats by Ray,12,Ridley Me This,78.0,46.0,W
2014,12,False,5,Team Beats by Ray,11,Baltimore Hail Marys,83.0,81.0,W
2014,13,False,5,Team Beats by Ray,10,Team Bibendum,127.0,68.0,W
2014,14,True,5,Team Beats by Ray,10,Team Bibendum,50.0,78.0,L
